license_id,vendor,tool_name,license_type,department,region,total_seats,avg_utilization,peak_utilization,cost_per_seat_usd,total_cost_usd,issue_date,expiry_date,days_to_expiry,renewal_risk,over_licensed,unused_seats,potential_savings
LIC-0001,Vendor_C,VerifyTool_A,Floating,ASIC Design,Americas,10,49.4,57.9,8000,80000,2024-08-06,2025-08-06,-284,Expired,False,4,32000
LIC-0002,Vendor_C,FormalChecker,Floating,ASIC Design,APAC,10,37.5,55.1,8000,80000,2024-07-21,2025-07-21,-300,Expired,True,5,40000
LIC-0003,Vendor_C,FormalChecker,Floating,Verification,EMEA,5,53.0,77.0,12000,60000,2024-12-10,2026-12-10,207,Low,False,1,12000
LIC-0004,Vendor_B,SimEngine_Pro,Floating,Verification,EMEA,20,23.6,31.0,15000,300000,2024-06-07,2026-06-07,21,Critical,True,14,210000
LIC-0005,Vendor_A,SchematicCapture,Node-Locked,Mixed-Signal,APAC,20,76.8,83.8,15000,300000,2024-05-23,2026-05-23,6,Critical,False,3,45000
LIC-0006,Vendor_C,VerifyTool_B,Floating,Analog,APAC,10,17.3,41.6,8000,80000,2025-06-22,2026-06-22,36,High,True,7,56000
LIC-0007,Vendor_B,WaveformViewer,Node-Locked,DFT,Americas,10,65.3,79.6,12000,120000,2025-05-18,2026-05-18,1,Critical,False,2,24000
LIC-0008,Vendor_C,VerifyTool_B,Floating,Mixed-Signal,Americas,20,27.1,41.6,30000,600000,2024-07-25,2025-07-25,-296,Expired,True,13,390000
LIC-0009,Vendor_C,CoverageAnalyzer,Node-Locked,ASIC Design,APAC,15,31.2,46.2,8000,120000,2025-07-14,2027-07-14,423,Low,True,9,72000
LIC-0010,Vendor_A,SchematicCapture,Floating,DFT,Americas,15,56.2,64.7,30000,450000,2024-07-21,2026-07-21,65,Medium,False,5,150000
LIC-0011,Vendor_C,FormalChecker,Floating,Mixed-Signal,EMEA,10,72.5,90.2,8000,80000,2025-12-29,2026-12-29,226,Low,False,1,8000
LIC-0012,Vendor_A,DesignTool_Lite,Floating,Analog,EMEA,20,13.6,28.1,20000,400000,2024-08-23,2026-08-23,98,Low,True,16,320000
LIC-0013,Vendor_C,VerifyTool_A,Floating,Analog,Americas,25,48.8,72.6,30000,750000,2025-03-04,2026-03-04,-74,Expired,False,11,330000
LIC-0014,Vendor_B,TimingAnalyzer,Floating,Verification,EMEA,50,40.8,67.7,15000,750000,2024-09-21,2025-09-21,-238,Expired,False,28,420000
LIC-0015,Vendor_C,VerifyTool_A,Node-Locked,Analog,EMEA,25,19.2,39.4,12000,300000,2025-01-29,2026-01-29,-108,Expired,True,19,228000
LIC-0016,Vendor_C,VerifyTool_A,Floating,Mixed-Signal,EMEA,5,50.4,78.6,15000,75000,2025-06-15,2026-06-15,29,Critical,False,1,15000
LIC-0017,Vendor_A,DesignTool_Pro,Floating,ASIC Design,Americas,5,19.8,49.2,25000,125000,2025-10-10,2026-10-10,146,Low,True,3,75000
LIC-0018,Vendor_C,FormalChecker,Floating,Mixed-Signal,APAC,25,42.9,58.5,12000,300000,2024-08-12,2025-08-12,-278,Expired,False,13,156000
LIC-0019,Vendor_C,CoverageAnalyzer,Floating,DFT,Americas,20,26.8,54.3,20000,400000,2025-10-15,2026-10-15,151,Low,True,13,260000
LIC-0020,Vendor_A,DesignTool_Pro,Floating,Physical Design,APAC,10,32.1,51.8,8000,80000,2025-12-05,2026-12-05,202,Low,True,5,40000
LIC-0021,Vendor_A,DesignTool_Pro,Floating,ASIC Design,EMEA,10,34.7,46.7,20000,200000,2025-07-11,2026-07-11,55,High,True,5,100000
LIC-0022,Vendor_C,FormalChecker,Node-Locked,Verification,EMEA,10,55.5,62.9,30000,300000,2024-12-01,2026-12-01,198,Low,False,3,90000
LIC-0023,Vendor_B,TimingAnalyzer,Floating,DFT,Americas,50,20.9,50.5,8000,400000,2025-12-15,2027-12-15,577,Low,True,38,304000
LIC-0024,Vendor_C,CoverageAnalyzer,Floating,ASIC Design,APAC,25,44.7,60.9,20000,500000,2025-08-12,2027-08-12,452,Low,False,12,240000
LIC-0025,Vendor_B,SimEngine_Pro,Node-Locked,ASIC Design,EMEA,25,29.8,37.2,30000,750000,2024-08-11,2025-08-11,-279,Expired,True,16,480000
LIC-0026,Vendor_A,DesignTool_Lite,Floating,Verification,EMEA,10,30.0,56.6,8000,80000,2025-08-31,2027-08-31,471,Low,True,6,48000
